event_candidate_id,stable_id,ticker_at_event,event_date,detected_event_type,evidence_date,evidence_form,evidence_item,evidence_url,evidence_summary,label_status,canonical_event_family,canonical_event_type,R,L,E,C,P,X,score_total,manual_grade,training_role,adjudication_note
CAND-14606774787152120897,permaticker:636650,SOPAQ,2026-05-20,bankruptcy_liquidation,2026-05-14,8-K,1.03;2.04;8.01,https://www.sec.gov/Archives/edgar/data/1817511/000149315226023162/form8-k.htm,"Company disclosed voluntary Chapter 11 petitions, debtor-in-possession operation and accelerated obligations; filing warns that security recovery is uncertain but does not establish old-common cancellation.",verified,distress_equity_death,chapter_11,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,Verified bankruptcy; keep below S until a plan or court order proves cancellation or no recovery for old common equity.
CAND-16692804117548625723,permaticker:194557,QVCAQ,2026-04-24,bankruptcy_liquidation,2026-04-17,8-K,1.01;1.03;2.04;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1355096/000110465926044521/tm2611635d1_8k.htm,Company disclosed Chapter 11 and a plan under which creditors receive reorganized equity while existing common and preferred interests receive no distribution and are canceled for no consideration.,verified,distress_equity_death,common_equity_cancellation,3,3,3,3,0,0,12,S,positive_hard_after_import_review,Primary filing directly supports common-equity death; this is the clean S boundary the radar should learn.
CAND-12035669252075663372,permaticker:197422,FFIC,2026-06-01,delisted,2026-06-01,8-K,2.01;3.01;3.03;5.01;5.02;9.01,https://www.sec.gov/Archives/edgar/data/923139/000119312526251765/d135457d8k.htm,Delisting followed a completed merger; each old common share converted into the right to receive 0.85 OceanFirst common share plus cash for fractional shares.,rejected,corporate_action_merger,merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"Sharadar delisting action is real, but it is not a severe negative event or common-equity death."
CAND-16185300028448829762,permaticker:198996,FONR,2026-06-03,delisted,2026-06-03,8-K,2.01;3.01;3.03,https://www.sec.gov/Archives/edgar/data/355019/000119312526255449/d121091d8k.htm,Delisting followed a completed cash merger. Common and Class B common shares converted into the right to receive $19.00 per share; other listed classes also received stated cash consideration.,rejected,corporate_action_merger,cash_merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"The delisting is a paid merger completion, not a severe negative event."
CAND-15141264022502007439,permaticker:640131,ESHA,2026-05-01,bankruptcy_liquidation,2026-04-23,8-K,3.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1918661/000121390026047075/ea028749701ex99-1_eshacq.htm,The SPAC announced redemption and dissolution. Public shares were canceled only after becoming rights to receive the redemption amount; warrants and rights expired without a liquidating distribution.,rejected,corporate_action_redemption,spac_redemption_not_bankruptcy,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"The common-share outcome is redemption consideration, so the bankruptcy label is false even though warrants expire worthless."
CAND-12932567292357832923,permaticker:199663,NVRI1,2026-05-29,delisted,2026-06-01,8-K,2.01;3.01,https://www.sec.gov/Archives/edgar/data/45876/000119312526251741/d129138d8k.htm,"After a distribution and merger, each Clean Earth common share converted into the right to receive $15.00 cash; aggregate transaction consideration was disclosed as approximately $3.04 billion.",rejected,corporate_action_merger,cash_merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,"The exchange exit is transaction mechanics with cash consideration, not equity death."
CAND-5496211245937909013,permaticker:198460,AMWD,2026-05-28,delisted,2026-05-28,8-K,2.01;3.01;3.03,https://www.sec.gov/Archives/edgar/data/794619/000119312526243155/d50625d8k.htm,The completed merger converted each American Woodmark common share into 5.150 MasterBrand common shares plus cash for fractional shares.,rejected,corporate_action_merger,stock_merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Shareholders received stock consideration; delisting is not a negative-death label.
CAND-2061743558231268296,permaticker:197403,VRE,2026-05-26,delisted,2026-05-27,8-K,2.01;3.01;3.03,https://www.sec.gov/Archives/edgar/data/924901/000110465926066981/tm2615596d1_8k.htm,The completed merger canceled each outstanding common share only after converting it into the right to receive $19.00 cash without interest.,rejected,corporate_action_merger,cash_merger_consideration_delisting,0,0,0,3,0,-3,0,rejected,rejected_false_positive,Cancellation wording must not override the explicit per-share cash merger consideration.
CAND-16594706544157274011,permaticker:633889,ABVEF,2026-06-01,delisted,2026-06-02,6-K,,https://www.sec.gov/Archives/edgar/data/1979484/000110465926069444/tm2616708d1_ex99-1.htm,Nasdaq's Hearings Panel determined to delist the securities for missed audited-financial-statement and Form 20-F deadlines; trading was to be suspended June 2 while appeal and relisting remained possible.,verified,listing_status,forced_delisting_for_filing_noncompliance,2,2,1,3,0,-1,7,A,positive_material_after_import_review,"The delisting determination and suspension are official and material, but appeal and relisting paths make the event reversible and below A++."
CAND-9255410605295960394,permaticker:198834,SIVBQ,2023-03-28,volume_crash,2023-03-22,8-K,2.04;7.01;9.01,https://www.sec.gov/Archives/edgar/data/719739/000119312523076760/d487549d8k.htm,"SVB Financial Group confirmed its March 17 Chapter 11 filing, which triggered defaults or repayment obligations across multiple debt instruments; the cited filing did not establish old-common cancellation.",verified,distress_equity_death,chapter_11,3,3,2,3,0,-1,10,A++,positive_boundary_after_import_review,Relabel the price-only discovery as a confirmed Chapter 11 cause; keep below S until common-equity treatment is proven.
