group_scope,group_name,reviewed_rows,review_threads,verified_rows,rejected_rows,acceptance_rate_pct,training_eligible_verified_rows,a_or_higher_rows,s_or_a_plus_plus_rows,training_eligible_a_or_higher_rows,training_eligible_s_or_a_plus_plus_rows,linked_consequence_excluded,false_positive_controls
event_family,bankruptcy_or_distress,120,120,38,82,31.7,38,37,37,37,37,0,62
event_family,equity_dilution,120,120,104,16,86.7,93,54,2,44,1,11,2
event_family,delisting_or_suspension,119,119,57,62,47.9,55,16,3,14,1,2,33
event_family,fundamental_shock,116,115,48,68,41.4,48,24,7,24,7,0,44
event_family,unknown,71,71,71,0,100.0,71,49,26,49,26,0,0
event_family,price_crash,68,65,28,40,41.2,19,19,6,10,4,9,32
detected_event_type,bankruptcy_liquidation,120,120,38,82,31.7,38,37,37,37,37,0,62
detected_event_type,reverse_split,120,120,104,16,86.7,93,54,2,44,1,11,2
detected_event_type,delisted,60,60,11,49,18.3,9,10,3,8,1,2,28
detected_event_type,voluntarydelisting,59,59,46,13,78.0,46,6,0,6,0,0,5
detected_event_type,volume_crash,32,32,16,16,50.0,12,10,2,6,2,4,13
detected_event_type,cash_short_debt_stress,23,23,2,21,8.7,2,2,2,2,2,0,14
detected_event_type,gross_margin_collapse,23,23,14,9,60.9,14,11,2,11,2,0,6
detected_event_type,negative_equity,23,23,19,4,82.6,19,5,3,5,3,0,4
detected_event_type,one_day_crash,23,23,9,14,39.1,5,8,3,4,2,4,11
detected_event_type,revenue_collapse_yoy,22,22,8,14,36.4,8,2,0,2,0,0,8
detected_event_type,interest_coverage_below_1,21,21,5,16,23.8,5,4,0,4,0,0,12
detected_event_type,five_day_crash,7,7,2,5,28.6,1,1,1,0,0,1,4
detected_event_type,twenty_one_day_crash,6,5,1,5,16.7,1,0,0,0,0,0,4
detected_event_type,free_cash_flow_turn_negative,4,4,0,4,0.0,0,0,0,0,0,0,0
detected_event_type,one_for_100_listing_compliance_reverse_split,4,4,4,0,100.0,4,0,0,0,0,0,0
detected_event_type,one_for_100_listing_compliance_share_consolidation,2,2,2,0,100.0,2,0,0,0,0,0,0
detected_event_type,voluntary_NYSE_ADS_exit_with_Hong_Kong_and_Shanghai_listings,2,2,2,0,100.0,2,0,0,0,0,0,0
detected_event_type,voluntary_chapter_11_petition,2,2,2,0,100.0,2,2,2,2,2,0,0
detected_event_type,Australian_voluntary_administration_after_failed_minimum_capital_raise,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,NYSE_low_price_delisting_determination,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_delisting_determination_due_to_interim_judicial_management,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_discretionary_delisting_determination_linked_to_dilutive_offering,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_discretionary_delisting_determination_under_Rule_5101,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_low_price_staff_delisting_determination,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_minimum_bid_price_trading_suspension_pending_appeal,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_panel_delisting_for_equity_meeting_and_filing_noncompliance,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_panel_delisting_for_periodic_filing_deadline_failure_with_Expert_Market_transition,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Nasdaq_sub_0_10_bid_price_trading_suspension,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,SEC_Section_12j_proceeding_for_chronic_reporting_delinquency,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,Singapore_interim_judicial_management_order_and_transfer_of_control,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,Singapore_judicial_management_application_for_working_capital_insufficiency,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,asset_sale_followed_by_Delaware_dissolution_with_distribution_rights,1,1,1,0,100.0,1,0,0,0,0,0,0
detected_event_type,chapter_11_asset_sale_with_expected_significant_or_complete_common_loss,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,common_and_prefunded_public_offering,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,common_prefunded_and_private_warrant_financing,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,confirmed_plan_effective_old_common_cancelled_zero_recovery,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,confirmed_plan_old_common_cancelled_without_consideration,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,core_phase_2b_failure_and_phase_3_shutdown,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,court_appointed_receiver_over_all_assets_under_Canadian_BIA,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,court_proceeding_to_delay_actions_and_formulate_debt_settlement_under_insolvency_law,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,extreme_common_prefunded_and_warrant_unit_offering,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,extreme_common_prefunded_multi_warrant_unit_offering,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,extreme_equity_rights_offering_and_debt_conversion_recapitalization,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,extreme_primary_equity_and_warrant_recapitalization,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,forced_Nasdaq_delisting_with_OTC_transition,1,1,1,0,100.0,1,1,0,1,0,0,0
detected_event_type,going_concern_near_zero_cash_working_capital_deficit_and_external_financing_dependency,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,liquidation_plan_effective_equity_cancelled_no_distribution,1,1,1,0,100.0,1,1,1,1,1,0,0
detected_event_type,offering_increasing_class_A_share_count_from_11_25_million_to_32_million,1,1,1,0,100.0,1,1,0,1,0,0,0
